L02_V022,005179
L02_V022,005121
L11_V024,022201
L11_V024,022274
L11_V024,022012
L10_V005,009486,
L10_V009,009871,
L10_V005,009470,
L10_V005,009220,
L10_V009,009849,
L10_V005,009469,
L10_V010,003926,
L10_V005,009222,
L10_V010,003927,
L11_V017,003927,
L02_V022,005179,
L02_V022,005179,
L02_V022,005141,
L02_V022,005141,
L02_V022,005121,
L02_V022,005121,
L02_V022,005160,
L02_V022,005160,
L02_V022,005122,
L02_V022,005122,
L09_V026,006498,
L09_V023,007331,
L09_V016,023697,
L04_V020,006168,
L04_V020,006154,
L08_V023,007379,
L16_V006,017703,
L16_V006,017703,
L16_V006,017769,
L16_V006,017769,
L13_V009,016542,
L16_V006,019552,
L16_V006,019595,
L16_V006,019553,
L16_V006,019563,
L16_V006,019574,
L16_V020,009123,
L16_V012,013320,
L12_V012,017949,
L12_V012,017625,
L12_V012,017637,
L12_V012,017649,
L12_V012,017660,
L12_V012,017917,
L12_V021,005510,
L12_V012,017626,
L05_V028,008973,
L05_V028,008978,
L05_V028,008983,
L03_V018,019876,
L03_V010,020123,
L03_V018,019835,
L19_V011,013063,
L20_V029,013570,
L20_V029,013258,
L20_V029,013571,
L20_V031,019747,
L20_V029,013076,
L20_V031,021050,
L20_V031,019769,
L20_V031,020248,
L20_V031,021088,
L19_V009,010205,
L19_V009,010205,
L19_V009,010205,
L22_V004,011867,
L22_V004,011900,
L22_V004,011866,
L22_V004,011883,
L22_V004,011883,
L21_V003,009367,
L21_V003,009332,
L21_V003,009297,
L21_V015,011046,
L21_V015,011149,
L21_V003,008873,
L21_V015,011098,
L21_V003,008862,
L21_V015,011022,
L21_V003,009480,
L21_V003,008885,
L21_V003,009508,
L21_V009,010676,
L21_V023,020345,
L21_V015,011047,
L21_V023,020325,
L21_V015,012096,
L21_V015,012044,
L21_V003,009522,
L21_V015,012061,
L21_V003,009494,
L21_V015,011997,
L21_V003,008899,
L21_V023,020301,
L21_V001,010699,
L21_V023,020279,
L21_V015,012043,
L11_V018,009482,
L01_V023,007212,
L01_V021,005045,
L01_V023,006982,
L07_V025,026744,
L18_V008,009272,
L18_V008,010404,
L18_V008,010385,
L18_V008,010003,
L18_V008,010098,
L18_V005,019556,
L08_V023,007803,
L21_V015,010597,
L21_V013,008034,
L08_V023,007787,
L07_V010,023818,
L08_V023,007811,
L21_V013,008033,
L08_V023,007786,
L05_V013,007907,
L16_V025,005640,
L08_V023,007795,
L16_V025,005654,
L21_V015,010582,
L19_V009,010192,
L02_V017,023621,
L16_V025,005627,
L16_V025,005653,
L05_V013,007587,
L02_V017,023636,
L11_V017,003727,
L22_V017,009322,
L21_V015,010567,
L16_V025,005614,
L01_V006,006587,
L19_V009,010180,
L11_V023,008111,
L21_V013,007384,
L05_V013,007568,
L08_V023,007447,
L22_V017,009371,
L21_V013,008011,
L03_V010,003492,
L11_V023,008039,
L05_V013,007606,
L21_V015,010552,
L01_V006,000637,
L21_V013,006809,
L21_V013,006880,
L12_V022,017667,
L19_V004,007943,
L11_V017,003903,
L01_V001,007828,
L21_V015,010551,
L21_V013,008102,
L19_V017,009253,
L11_V017,004047,
L16_V006,019414,
L08_V023,007448,
L16_V006,019384,
L07_V020,003996,
L07_V010,024321,
L11_V017,003915,
L16_V025,004682,
L11_V017,004030,
L05_V013,007955,
L01_V006,005457,
L09_V019,005134,
L16_V006,017782,
L15_V029,020815,
L09_V008,025495,
L04_V006,009086,
L22_V017,009361,
L21_V013,008051,
L19_V004,007923,
L09_V008,025532,
L06_V004,030404,
L01_V006,006622,
L11_V023,008087,
L03_V010,003499,
L01_V006,000644,
L11_V023,008063,
L22_V016,010975,
L07_V020,003967,
L06_V016,012769,
L20_V007,032280,
L07_V010,023803,
L14_V023,011169,
L11_V017,003758,
L22_V017,009341,
L07_V010,024320,
L21_V013,007397,
L19_V017,009272,
L21_V013,008068,
L16_V006,017736,
L11_V020,004476,
L16_V012,012266,
L11_V007,006256,
L01_V006,005514,
L16_V006,017770,
L02_V017,023606,
L16_V012,011961,
L16_V012,011989,
L07_V024,003659,
L11_V017,003818,
L22_V017,009362,
L13_V006,003768,
L04_V006,009071,
L16_V020,009284,
L16_V020,009260,
L16_V020,009309,
L04_V015,006831,
L15_V013,005023,
L04_V015,006809,
L06_V003,020197,
L15_V013,005008,
L19_V022,002277,
L02_V022,005910,
L02_V022,005017,
L04_V010,008913,
L15_V013,005069,
L05_V030,003257,
L15_V011,006594,
L08_V023,007803,
L16_V012,011989,
L06_V003,020835,
L10_V009,010292,
L10_V009,010281,
L09_V009,006188,
L02_V004,027274,
L15_V013,005022,
L10_V009,010302,
L08_V023,007811,
L15_V013,004994,
L06_V003,020224,
L12_V012,009939,
L09_V006,008092,
L08_V023,007786,
L16_V020,001598,
L14_V012,006631,
L16_V020,001599,
L16_V020,008894,
L02_V022,005018,
L16_V027,019335,
L09_V009,006167,
L15_V013,005104,
L14_V012,006712,
L16_V012,011975,
L03_V005,005841,
L14_V012,006685,
L06_V003,020817,
L11_V017,003903,
L09_V019,005054,
L05_V030,003437,
L15_V013,005034,
L20_V024,015971,
L16_V020,001621,
L09_V019,005507,
L09_V019,005496,
L08_V023,007795,
L09_V019,004667,
L05_V030,004754,
L02_V022,005869,
L21_V001,010664,
L13_V009,004829,
L09_V009,006230,
L02_V022,005826,
L02_V022,005069,
L08_V023,007787,
L06_V003,020251,
L02_V022,005805,
L16_V012,011990,
L09_V009,006209,
L05_V030,003238,
L16_V012,011961,
L22_V016,010228,
L22_V017,009284,
L02_V022,005043,
L13_V009,004809,
L02_V022,005959,
L19_V024,004086,
L16_V012,011908,
L15_V013,005068,
L14_V018,006405,
L11_V017,004596,
L09_V009,006148,
L19_V017,009253,
L09_V023,007935,
L16_V027,019282,
L10_V010,004454,
L10_V009,009730,
L01_V006,005514,
L04_V010,008903,
L10_V009,010271,
L15_V011,006604,
L16_V012,011934,
L03_V030,008811,
L08_V023,007863,
L06_V003,020782,
L10_V016,008468,
