L08_V008,010708,9
L08_V008,010708,9
L08_V008,010708,9
L08_V008,010720,10
L08_V008,010744,6
L08_V008,010720,8
L08_V008,010744,7
L08_V008,010708,1
L08_V008,010720,2
L08_V008,010744,3
L08_V008,010720,4
L08_V008,010744,5
L09_V016,008781,9
L09_V016,008780,9
L09_V016,007804,9
L04_V005,005782,9
L06_V021,006741,9
L06_V021,006695,9
L06_V021,006740,9
L06_V021,006753,9
L06_V021,006840,9
L09_V016,007788,9
L08_V008,010388,9
L06_V021,006864,9
L06_V021,006747,9
L09_V016,007322,9
L06_V021,006759,9
L15_V014,007256,
L15_V014,007265,9
L15_V014,007274,
L06_V021,006852,
L06_V021,006828,
L03_V020,005360,
L06_V021,006827,
L19_V013,005755,
L15_V014,007248,
L02_V008,005846,
L17_V015,006624,
L08_V008,010413,
L08_V011,006998,
L06_V021,006729,
L16_V003,012815,
L02_V008,005883,
L02_V008,005865,
L06_V021,005692,
L19_V013,005689,
L04_V029,001848,
L09_V016,007336,
L06_V021,006707,
L07_V016,002390,
L09_V016,008817,
L02_V008,005901,
L03_V020,005359,
L21_V028,006383,
L16_V003,012656,
L19_V013,005708,
L18_V003,003293,
L16_V003,013119,
L08_V014,001872,
L21_V028,004276,
L20_V018,005242,
L03_V020,004909,
L16_V003,013212,
L18_V003,000784,
L13_V022,002104,
L04_V029,002106,
L09_V016,007349,
L14_V017,008472,
L19_V001,005026,
L21_V028,006443,
L19_V013,005720,
L08_V011,006991,
L14_V017,008453,
L08_V024,002575,
L13_V022,001653,
L13_V022,001753,
L08_V002,002269,
L02_V020,004522,
L20_V018,005167,
L17_V015,006635,
L16_V015,000749,
L18_V003,003285,
L08_V011,006686,
L09_V016,007323,
L18_V003,002743,
L08_V011,007225,
L04_V029,002092,
L08_V008,010739,
L18_V003,002744,
L08_V008,009989,
L09_V016,007362,
L18_V003,003277,
L08_V008,010536,
L09_V016,007773,
L19_V021,002383,
L06_V021,006696,
L18_V005,005939,
L19_V001,004982,
L08_V002,002044,
L06_V021,006383,
L08_V011,006984,
L04_V018,003771,
L20_V017,011483,
L08_V008,010759,
L06_V021,006947,
L19_V001,005004,
L17_V015,006613,
L08_V006,002554,
L05_V010,000479,
L03_V020,004908,
L18_V026,003275,
L06_V021,000516,
